  3.30  1.45677E+00  7.015E-03  0.48    6080  3.454E-03  0.24    3100  2.996E-03  0.21     192  3.454E-03  0.24    3100
  3.90  1.01995E+00  5.698E-03  0.56    9256  3.224E-03  0.32    7260  3.380E-03  0.33     654  3.224E-03  0.32    7260
  4.50  6.04629E-01  2.932E-03  0.48   10227  2.075E-03  0.34    9524  2.680E-03  0.44      56  2.075E-03  0.34    9524
  5.10  3.27661E-01  1.444E-03  0.44   10292  1.435E-03  0.44   10271  0.000E+00  0.00       0  1.435E-03  0.44   10271
  5.70  1.88636E-01  7.344E-04  0.39   10318  7.344E-04  0.39   10318  0.000E+00  0.00       0  7.344E-04  0.39   10318
  6.30  1.09575E-01  3.895E-04  0.36   10176  3.895E-04  0.36   10176  0.000E+00  0.00       0  3.895E-04  0.36   10176
  6.90  6.62457E-02  3.298E-04  0.50   10332  3.298E-04  0.50   10332  0.000E+00  0.00       0  3.298E-04  0.50   10332
  7.50  4.00332E-02  3.642E-04  0.91   10507  3.642E-04  0.91   10507  0.000E+00  0.00       0  3.642E-04  0.91   10507
  8.10  2.26906E-02  2.770E-04  1.22   10318  2.770E-04  1.22   10318  0.000E+00  0.00       0  2.770E-04  1.22   10318
  8.70  1.24027E-02  1.885E-04  1.52   10327  1.885E-04  1.52   10327  0.000E+00  0.00       0  1.885E-04  1.52   10327
  9.30  6.77783E-03  1.441E-04  2.13   10020  1.441E-04  2.13   10020  0.000E+00  0.00       0  1.441E-04  2.13   10020
  9.90  4.24300E-03  2.372E-04  5.59   10225  2.372E-04  5.59   10225  0.000E+00  0.00       0  2.372E-04  5.59   10225
 10.50  2.82195E-03  1.908E-04  6.76   10207  1.908E-04  6.76   10207  0.000E+00  0.00       0  1.908E-04  6.76   10207
 11.10  1.99589E-03  1.654E-04  8.29   10163  1.654E-04  8.29   10163  0.000E+00  0.00       0  1.654E-04  8.29   10163
 11.70  1.49722E-03  1.272E-04  8.49   10341  1.272E-04  8.49   10341  0.000E+00  0.00       0  1.272E-04  8.49   10341
 12.30  1.16725E-03  7.661E-05  6.56   10326  7.661E-05  6.56   10326  0.000E+00  0.00       0  7.661E-05  6.56   10326
 12.90  9.60773E-04  5.006E-05  5.21   10288  5.006E-05  5.21   10288  0.000E+00  0.00       0  5.006E-05  5.21   10288
 13.50  8.08851E-04  4.272E-05  5.28   10278  4.272E-05  5.28   10278  0.000E+00  0.00       0  4.272E-05  5.28   10278
 14.10  7.53859E-04  4.976E-05  6.60   10180  4.976E-05  6.60   10180  0.000E+00  0.00       0  4.976E-05  6.60   10180
 14.70  7.55632E-04  5.187E-05  6.86   10131  5.187E-05  6.86   10131  0.000E+00  0.00       0  5.187E-05  6.86   10131
